(0, 0) (1, 69) (2, 338) 
(0, 0) (1, 69) (2, 346) 
(0, 0) (1, 69) (2, 360) 
(0, 0) (1, 69) (2, 383) 
(0, 0) (1, 69) (2, 395) 
(0, 0) (1, 69) (2, 400) 
(0, 0) (1, 69) (2, 539) 
(0, 0) (1, 69) (2, 583) 
(0, 0) (1, 69) (2, 606) 
(0, 0) (1, 69) (2, 625) 
(0, 0) (1, 69) (2, 633) 
(0, 0) (1, 69) (2, 642) 
(0, 0) (1, 69) (2, 649) 
(0, 0) (1, 69) (2, 658) 
(0, 0) (1, 69) (2, 661) 
